;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CO₂ emissions - EnerBlue;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Global Energy & Climate Outlook 2050;;;;;;;;;;;;;;;;;;;;;;;;;;;
;www.enerdata.net;;;;;;;;;;;;;;Back to Intro;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4.1. Total CO₂ emissions (incl. industrial processes, MtCO₂);Scenario;Unit;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2015 - 2050 (%/year) ;;;;;;;;;;;;;
;World;EnerBlue;MtCO₂;24950;29405;33188;35425;34905;36225;34700;32126;28683;25142;21297;-1,4;;;;;;;;;;;;;
;Europe;EnerBlue;MtCO₂;4601;4774;4469;4084;3546;3179;2499;1917;1481;1196;986;-4,0;;;;;;;;;;;;;
;Asia-Pacific;EnerBlue;MtCO₂;8298;11822;15400;17869;18977;20830;21251;20147;17840;15532;12684;-1,0;;;;;;;;;;;;;
;Africa;EnerBlue;MtCO₂;770;964;1145;1307;1286;1557;1751;1924;2106;2244;2347;1,7;;;;;;;;;;;;;
;Middle-East;EnerBlue;MtCO₂;1037;1342;1740;2060;2078;2185;2148;2100;1979;1788;1670;-0,6;;;;;;;;;;;;;
;North America;EnerBlue;MtCO₂;6553;6565;6175;5780;5078;4366;3074;2301;1800;1217;764;-5,6;;;;;;;;;;;;;
;Latin America;EnerBlue;MtCO₂;1334;1477;1690;1851;1478;1618;1700;1690;1647;1525;1377;-0,8;;;;;;;;;;;;;
;CIS;EnerBlue;MtCO₂;2357;2461;2569;2474;2461;2489;2278;2046;1830;1638;1469;-1,5;;;;;;;;;;;;;
;n.a. : non avalaible ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4.2. CO₂ intensity of electricity generation (gCO₂/kWh);Scenario;Unit;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;;;;;;;;;;;;;;
;World;EnerBlue;Mtoe;564;574;555;528;465;411;342;281;228;187;144;;;;;;;;;;;;;;
;Europe;EnerBlue;Mtoe;418;411;371;329;239;186;132;103;81;68;57;;;;;;;;;;;;;;
;Asia-Pacific;EnerBlue;Mtoe;686;733;700;662;591;542;462;377;303;257;199;;;;;;;;;;;;;;
;Africa;EnerBlue;Mtoe;672;641;624;606;538;402;297;233;187;151;122;;;;;;;;;;;;;;
;Middle-East;EnerBlue;Mtoe;715;696;682;650;599;493;392;318;243;169;127;;;;;;;;;;;;;;
;North America;EnerBlue;Mtoe;569;535;490;415;322;233;142;104;82;45;19;;;;;;;;;;;;;;
;Latin America;EnerBlue;Mtoe;270;266;262;284;208;174;160;143;129;102;71;;;;;;;;;;;;;;
;CIS;EnerBlue;Mtoe;673;643;608;596;515;463;392;332;276;232;199;;;;;;;;;;;;;;
;n.a. : non avalaible ;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4.3. CO₂ intensity to GDP (kgCO₂/US$₂₀₁₅ppp);Scenario;Unit;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;;;;;;;;;;;;;;
;World;EnerBlue;kgCO₂/US$₂₀₁₅ppp;0,357;0,347;0,324;0,291;0,260;0,221;0,181;0,146;0,116;0,092;0,070;;;;;;;;;;;;;;
;Europe;EnerBlue;kgCO₂/US$₂₀₁₅ppp;0,241;0,225;0,199;0,167;0,140;0,108;0,077;0,055;0,039;0,030;0,023;;;;;;;;;;;;;;
;Asia-Pacific;EnerBlue;kgCO₂/US$₂₀₁₅ppp;0,411;0,441;0,412;0,362;0,320;0,271;0,224;0,178;0,136;0,104;0,076;;;;;;;;;;;;;;
;Africa;EnerBlue;kgCO₂/US$₂₀₁₅ppp;0,255;0,249;0,226;0,216;0,190;0,190;0,177;0,162;0,149;0,135;0,121;;;;;;;;;;;;;;
;Middle-East;EnerBlue;kgCO₂/US$₂₀₁₅ppp;0,341;0,358;0,375;0,400;0,401;0,368;0,320;0,281;0,240;0,199;0,172;;;;;;;;;;;;;;
;North America;EnerBlue;kgCO₂/US$₂₀₁₅ppp;0,430;0,379;0,339;0,284;0,237;0,176;0,114;0,078;0,057;0,035;0,021;;;;;;;;;;;;;;
